model,prevalence,tpr,n_phish,fpr,fp,n_legit,fpr_ci_lo,fpr_ci_hi,precision,precision_ci_lo,precision_ci_hi,alerts_per_1e6_urls
B1,0.01,0.9885823025689819,52550,0.006074044743615126,1534,252550,0.00577842813251942,0.006384687583872042,0.6217840027038561,0.6099850770099714,0.6334440141818698,15899.127321868795
B1,0.001,0.9885823025689819,52550,0.006074044743615126,1534,252550,0.00577842813251942,0.006384687583872042,0.14009422197596721,0.1341927118291926,0.14621333827206923,7056.553001440493
B1,0.0001,0.9885823025689819,52550,0.006074044743615126,1534,252550,0.00577842813251942,0.006384687583872042,0.01601644463480311,0.015249058021397284,0.016822040759904747,6172.295569397662
B2,0.01,0.9892293054234063,52550,0.00906751138388438,2290,252550,0.008705207196429669,0.009444750733174833,0.5242580558025689,0.5140830743549956,0.5344167228547951,18869.1293242796
B2,0.001,0.9892293054234063,52550,0.00906751138388438,2290,252550,0.008705207196429669,0.009444750733174833,0.09845357108120087,0.09489433131613481,0.10213263979036226,10047.673177923902
B2,0.0001,0.9892293054234063,52550,0.00906751138388438,2290,252550,0.008705207196429669,0.009444750733174833,0.010792933615580104,0.010366314351670168,0.011237079782593517,9165.527563288333
B3,0.01,0.9903520456707897,52550,0.005907741041377945,1492,252550,0.005616277873019242,0.0062142354981937166,0.6287077653224334,0.6168260337778335,0.6404393342074991,15752.184087672063
B3,0.001,0.9903520456707897,52550,0.005907741041377945,1492,252550,0.005616277873019242,0.0062142354981937166,0.1436920216088647,0.13757997859318474,0.15003029830858114,6892.185346007357
B3,0.0001,0.9903520456707897,52550,0.005907741041377945,1492,252550,0.005616277873019242,0.0062142354981937166,0.016488868855514188,0.015688374276268596,0.01732974836037041,6006.185471840887
B4,0.01,0.988848715509039,52550,0.009796079984161552,2474,252550,0.009419343548136913,0.010187729417487695,0.5048596466246277,0.495059537002162,0.5146598229836608,19586.606339410326
B4,0.001,0.988848715509039,52550,0.009796079984161552,2474,252550,0.009419343548136913,0.010187729417487695,0.09177137306898556,0.08855580718296183,0.0950928271159649,10775.13261968643
B4,0.0001,0.988848715509039,52550,0.009796079984161552,2474,252550,0.009419343548136913,0.010187729417487695,0.0099944429949247,0.009613917968692246,0.010390027840739523,9893.98524771404
B5,0.01,0.9921598477640342,52550,0.00671550188081568,1696,252550,0.006404383350710966,0.00704162712565472,0.5987707427073015,0.587326730718689,0.6101116903032073,16569.945339647868
B5,0.001,0.9921598477640342,52550,0.00671550188081568,1696,252550,0.006404383350710966,0.00704162712565472,0.1288360960532684,0.12360674282786759,0.13425456173211922,7700.946226698899
B5,0.0001,0.9921598477640342,52550,0.00671550188081568,1696,252550,0.006404383350710966,0.00704162712565472,0.014560509304451498,0.013895525773781371,0.015257052419607167,6814.046315404003
